Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: 1500

TL =     8.96
SUMAC =     1.00
SZQ =       0.01911
Subcatchment routing data:
Maximum Routing Delay       0.37679
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.20576
Initial SBAR             0.20376
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.0379e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.0382e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.0386e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.0389e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 5.3788e-05 8.0720e-05 3.2666e-05 2.0384e-01 2.1122e-05
6 5.0000e-04 3.2300e-05 4.5304e-05 1.1521e-04 3.2715e-05 2.0376e-01 1.2589e-05
7 5.0000e-04 1.5600e-05 4.5760e-05 1.4838e-04 3.2800e-05 2.0364e-01 1.2961e-05
8 0.0000e+00 0.0000e+00 3.2918e-05 1.2828e-04 3.2918e-05 2.0355e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.6440e-05 1.6479e-04 3.3016e-05 2.0342e-01 1.3423e-05
10 5.0000e-04 0.0000e+00 4.7008e-05 1.9663e-04 3.3153e-05 2.0325e-01 1.3856e-05
11 0.0000e+00 0.0000e+00 3.3323e-05 1.7155e-04 3.3323e-05 2.0312e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3467e-05 1.5231e-04 3.3467e-05 2.0300e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 6.1302e-05 2.4238e-04 3.3591e-05 2.0279e-01 2.7711e-05
14 5.0000e-04 0.0000e+00 4.7667e-05 2.6338e-04 3.3811e-05 2.0256e-01 1.3856e-05
15 5.0000e-04 0.0000e+00 4.7910e-05 2.8430e-04 3.4055e-05 2.0231e-01 1.3856e-05
16 1.0000e-03 0.0000e+00 6.2033e-05 3.5676e-04 3.4322e-05 2.0199e-01 2.7711e-05
17 0.0000e+00 0.0000e+00 3.4670e-05 3.1122e-04 3.4670e-05 2.0171e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4970e-05 2.7662e-04 3.4970e-05 2.0147e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5236e-05 2.4697e-04 3.5236e-05 2.0126e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5469e-05 2.2113e-04 3.5469e-05 2.0107e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5676e-05 1.9842e-04 3.5676e-05 2.0091e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5858e-05 1.7834e-04 3.5858e-05 2.0076e-01 0.0000e+00
