Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-1139

TL =    10.05
SUMAC =     1.00
SZQ =       0.00639
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.17073
Initial SBAR             0.16873
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 1.6876e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 1.6879e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 1.6883e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 1.6886e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.6366e-05 9.8537e-05 3.2666e-05 1.6879e-01 1.3700e-05
6 5.0000e-04 3.2300e-05 4.0899e-05 1.4010e-04 3.2733e-05 1.6869e-01 8.1654e-06
7 5.0000e-04 1.5600e-05 4.1250e-05 1.7859e-04 3.2843e-05 1.6854e-01 8.4062e-06
8 0.0000e+00 0.0000e+00 3.2993e-05 1.5132e-04 3.2993e-05 1.6842e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.1822e-05 1.9302e-04 3.3115e-05 1.6826e-01 8.7064e-06
10 5.0000e-04 0.0000e+00 4.2268e-05 2.2944e-04 3.3281e-05 1.6807e-01 8.9867e-06
11 0.0000e+00 0.0000e+00 3.3486e-05 1.9582e-04 3.3486e-05 1.6790e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3656e-05 1.6927e-04 3.3656e-05 1.6777e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 5.1773e-05 2.7732e-04 3.3799e-05 1.6753e-01 1.7973e-05
14 5.0000e-04 0.0000e+00 4.3044e-05 3.0098e-04 3.4057e-05 1.6726e-01 8.9867e-06
15 5.0000e-04 0.0000e+00 4.3329e-05 3.2321e-04 3.4343e-05 1.6697e-01 8.9867e-06
16 1.0000e-03 0.0000e+00 5.2628e-05 4.0835e-04 3.4654e-05 1.6660e-01 1.7973e-05
17 0.0000e+00 0.0000e+00 3.5061e-05 3.4849e-04 3.5061e-05 1.6628e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.5406e-05 3.0144e-04 3.5406e-05 1.6602e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5702e-05 2.6188e-04 3.5702e-05 1.6579e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5955e-05 2.2829e-04 3.5955e-05 1.6560e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.6172e-05 1.9958e-04 3.6172e-05 1.6543e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.6357e-05 1.7491e-04 3.6357e-05 1.6530e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.6515e-05 1.5361e-04 3.6515e-05 1.6518e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 8.8737e-05 5.2054e-04 3.6649e-05 1.6470e-01 5.2088e-05
25 2.0000e-03 6.6600e-05 7.2072e-05 6.9496e-04 3.7207e-05 1.6404e-01 3.4865e-05
26 5.5000e-03 6.9600e-05 1.3564e-04 1.3174e-03 3.7980e-05 1.6276e-01 9.7657e-05
27 6.0000e-03 6.6600e-05 1.4612e-04 1.9137e-03 3.9529e-05 1.6088e-01 1.0659e-04
28 1.0000e-03 6.0200e-05 5.8690e-05 1.7509e-03 4.1913e-05 1.5917e-01 1.6776e-05
29 2.5000e-03 4.9200e-05 8.8064e-05 1.8430e-03 4.4213e-05 1.5738e-01 4.3852e-05
30 0.0000e+00 3.4800e-05 4.6769e-05 1.5773e-03 4.6769e-05 1.5585e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.9061e-05 1.3607e-03 4.9061e-05 1.5453e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 6.7276e-05 1.3080e-03 5.1113e-05 1.5328e-01 1.6163e-05
33 5.0000e-04 0.0000e+00 6.2148e-05 1.1994e-03 5.3161e-05 1.5213e-01 8.9867e-06
34 0.0000e+00 0.0000e+00 5.5100e-05 1.0338e-03 5.5100e-05 1.5115e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.6811e-05 8.9560e-04 5.6811e-05 1.5031e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.8320e-05 7.7759e-04 5.8320e-05 1.4959e-01 0.0000e+00
