Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-11859

TL =     7.91
SUMAC =     1.00
SZQ =       0.05473
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.23943
Initial SBAR             0.23743
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 2.3747e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 2.3750e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 2.3753e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 2.3756e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 4.4231e-05 7.3995e-05 3.2666e-05 2.3752e-01 1.1565e-05
6 5.0000e-04 3.2300e-05 3.9601e-05 1.0462e-04 3.2708e-05 2.3745e-01 6.8930e-06
7 5.0000e-04 1.5600e-05 3.9878e-05 1.3501e-04 3.2782e-05 2.3735e-01 7.0963e-06
8 0.0000e+00 0.0000e+00 3.2887e-05 1.1685e-04 3.2887e-05 2.3726e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 4.0323e-05 1.5142e-04 3.2973e-05 2.3715e-01 7.3497e-06
10 5.0000e-04 0.0000e+00 4.0682e-05 1.8093e-04 3.3095e-05 2.3700e-01 7.5864e-06
11 0.0000e+00 0.0000e+00 3.3249e-05 1.5846e-04 3.3249e-05 2.3687e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3379e-05 1.4218e-04 3.3379e-05 2.3676e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 4.8665e-05 2.2579e-04 3.3493e-05 2.3657e-01 1.5173e-05
14 5.0000e-04 0.0000e+00 4.1281e-05 2.4462e-04 3.3695e-05 2.3636e-01 7.5864e-06
15 5.0000e-04 0.0000e+00 4.1504e-05 2.6456e-04 3.3917e-05 2.3613e-01 7.5864e-06
16 1.0000e-03 0.0000e+00 4.9335e-05 3.3181e-04 3.4163e-05 2.3583e-01 1.5173e-05
17 0.0000e+00 0.0000e+00 3.4482e-05 2.9050e-04 3.4482e-05 2.3558e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4759e-05 2.6098e-04 3.4759e-05 2.3535e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.5006e-05 2.3562e-04 3.5006e-05 2.3515e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.5226e-05 2.1338e-04 3.5226e-05 2.3497e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.5422e-05 1.9366e-04 3.5422e-05 2.3481e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5598e-05 1.7604e-04 3.5598e-05 2.3467e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5755e-05 1.6022e-04 3.5755e-05 2.3455e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 7.9865e-05 4.3279e-04 3.5894e-05 2.3415e-01 4.3972e-05
25 2.0000e-03 6.6600e-05 6.5774e-05 5.5904e-04 3.6342e-05 2.3363e-01 2.9432e-05
26 5.5000e-03 6.9600e-05 1.1938e-04 1.0253e-03 3.6940e-05 2.3264e-01 8.2440e-05
27 6.0000e-03 6.6600e-05 1.2808e-04 1.4694e-03 3.8099e-05 2.3121e-01 8.9980e-05
28 1.0000e-03 6.0200e-05 5.4004e-05 1.3614e-03 3.9842e-05 2.2989e-01 1.4162e-05
29 2.5000e-03 4.9200e-05 7.8540e-05 1.4588e-03 4.1522e-05 2.2847e-01 3.7018e-05
30 0.0000e+00 3.4800e-05 4.3402e-05 1.2896e-03 4.3402e-05 2.2722e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.5126e-05 1.1605e-03 4.5126e-05 2.2611e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 6.0370e-05 1.1430e-03 4.6726e-05 2.2501e-01 1.3644e-05
33 5.0000e-04 0.0000e+00 5.5941e-05 1.0770e-03 4.8355e-05 2.2398e-01 7.5864e-06
34 0.0000e+00 0.0000e+00 4.9934e-05 9.6813e-04 4.9934e-05 2.2307e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 5.1388e-05 8.7651e-04 5.1388e-05 2.2224e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 5.2730e-05 7.9464e-04 5.2730e-05 2.2150e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.3967e-05 7.2107e-04 5.3967e-05 2.2083e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.5104e-05 6.5477e-04 5.5104e-05 2.2023e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.6146e-05 5.9493e-04 5.6146e-05 2.1969e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.7100e-05 5.4081e-04 5.7100e-05 2.1921e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.7969e-05 4.9184e-04 5.7969e-05 2.1878e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.8761e-05 4.4748e-04 5.8761e-05 2.1839e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 5.9479e-05 4.0726e-04 5.9479e-05 2.1804e-01 0.0000e+00
