Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-12219

TL =     2.57
SUMAC =     1.00
SZQ =      11.35016
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.41014
Initial SBAR             0.40814
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 4.0817e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 4.0820e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 4.0824e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 4.0827e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.3184e-05 2.3355e-05 3.2666e-05 4.0828e-01 5.1775e-07
6 5.0000e-04 3.2300e-05 3.2965e-05 3.3995e-05 3.2656e-05 4.0828e-01 3.0858e-07
7 5.0000e-04 1.5600e-05 3.2976e-05 4.4223e-05 3.2658e-05 4.0827e-01 3.1769e-07
8 0.0000e+00 0.0000e+00 3.2670e-05 3.9127e-05 3.2670e-05 4.0826e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.3005e-05 5.0007e-05 3.2676e-05 4.0824e-01 3.2903e-07
10 5.0000e-04 0.0000e+00 3.3034e-05 5.9829e-05 3.2694e-05 4.0821e-01 3.3963e-07
11 0.0000e+00 0.0000e+00 3.2722e-05 5.3311e-05 3.2722e-05 4.0819e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.2743e-05 4.8088e-05 3.2743e-05 4.0818e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 3.3438e-05 7.4184e-05 3.2758e-05 4.0814e-01 6.7925e-07
14 5.0000e-04 0.0000e+00 3.3141e-05 8.1181e-05 3.2801e-05 4.0809e-01 3.3963e-07
15 5.0000e-04 0.0000e+00 3.3190e-05 8.7950e-05 3.2851e-05 4.0803e-01 3.3963e-07
16 1.0000e-03 0.0000e+00 3.3586e-05 1.0948e-04 3.2907e-05 4.0796e-01 6.7925e-07
17 0.0000e+00 0.0000e+00 3.2986e-05 9.7624e-05 3.2986e-05 4.0789e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.3053e-05 8.8167e-05 3.3053e-05 4.0784e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.3110e-05 7.9888e-05 3.3110e-05 4.0779e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.3158e-05 7.2541e-05 3.3158e-05 4.0775e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.3199e-05 6.5976e-05 3.3199e-05 4.0772e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.3233e-05 6.0082e-05 3.3233e-05 4.0769e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.3261e-05 5.4772e-05 3.3261e-05 4.0767e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 3.5252e-05 1.3911e-04 3.3283e-05 4.0756e-01 1.9685e-06
25 2.0000e-03 6.6600e-05 3.4711e-05 1.8189e-04 3.3393e-05 4.0742e-01 1.3176e-06
26 5.5000e-03 6.9600e-05 3.7239e-05 3.2874e-04 3.3549e-05 4.0712e-01 3.6906e-06
27 6.0000e-03 6.6600e-05 3.7888e-05 4.7236e-04 3.3860e-05 4.0668e-01 4.0282e-06
28 1.0000e-03 6.0200e-05 3.4961e-05 4.4657e-04 3.4327e-05 4.0627e-01 6.3401e-07
29 2.5000e-03 4.9200e-05 3.6429e-05 4.7654e-04 3.4772e-05 4.0583e-01 1.6572e-06
30 0.0000e+00 3.4800e-05 3.5255e-05 4.2706e-04 3.5255e-05 4.0544e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 3.5690e-05 3.8612e-04 3.5690e-05 4.0509e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 3.6693e-05 3.7808e-04 3.6083e-05 4.0474e-01 6.1082e-07
33 5.0000e-04 0.0000e+00 3.6810e-05 3.5747e-04 3.6470e-05 4.0442e-01 3.3963e-07
34 0.0000e+00 0.0000e+00 3.6838e-05 3.2380e-04 3.6838e-05 4.0414e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 3.7170e-05 2.9427e-04 3.7170e-05 4.0388e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 3.7470e-05 2.6778e-04 3.7470e-05 4.0365e-01 0.0000e+00
