 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
    1 0.000E+00 0.619E-04 0.328E-04 0.000E+00 0.328E-04 0.316E+00 0.000E+00
    2 0.000E+00 0.647E-04 0.328E-04 0.000E+00 0.328E-04 0.316E+00 0.000E+00
    3 0.100E-02 0.619E-04 0.327E-04 0.000E+00 0.327E-04 0.316E+00 0.000E+00
    4 0.100E-02 0.560E-04 0.327E-04 0.000E+00 0.327E-04 0.316E+00 0.000E+00
    5 0.100E-02 0.457E-04 0.327E-04 0.487E-04 0.327E-04 0.316E+00 0.000E+00
    6 0.500E-03 0.323E-04 0.327E-04 0.745E-04 0.327E-04 0.316E+00 0.000E+00
    7 0.500E-03 0.156E-04 0.327E-04 0.996E-04 0.327E-04 0.316E+00 0.000E+00
    8 0.000E+00 0.000E+00 0.328E-04 0.932E-04 0.328E-04 0.316E+00 0.000E+00
    9 0.500E-03 0.000E+00 0.329E-04 0.118E-03 0.329E-04 0.316E+00 0.000E+00
   10 0.500E-03 0.000E+00 0.329E-04 0.143E-03 0.329E-04 0.316E+00 0.000E+00
   11 0.000E+00 0.000E+00 0.331E-04 0.133E-03 0.331E-04 0.315E+00 0.000E+00
   12 0.000E+00 0.000E+00 0.332E-04 0.125E-03 0.332E-04 0.315E+00 0.000E+00
   13 0.100E-02 0.000E+00 0.333E-04 0.181E-03 0.333E-04 0.315E+00 0.000E+00
   14 0.500E-03 0.000E+00 0.334E-04 0.201E-03 0.334E-04 0.315E+00 0.000E+00
   15 0.500E-03 0.000E+00 0.336E-04 0.220E-03 0.336E-04 0.315E+00 0.000E+00
   16 0.100E-02 0.000E+00 0.338E-04 0.270E-03 0.338E-04 0.315E+00 0.000E+00
   17 0.000E+00 0.000E+00 0.340E-04 0.253E-03 0.340E-04 0.314E+00 0.000E+00
   18 0.000E+00 0.000E+00 0.343E-04 0.237E-03 0.343E-04 0.314E+00 0.000E+00
   19 0.000E+00 0.000E+00 0.345E-04 0.222E-03 0.345E-04 0.314E+00 0.000E+00
   20 0.000E+00 0.000E+00 0.347E-04 0.208E-03 0.347E-04 0.314E+00 0.000E+00
   21 0.000E+00 0.180E-04 0.349E-04 0.194E-03 0.349E-04 0.314E+00 0.000E+00
   22 0.000E+00 0.348E-04 0.350E-04 0.182E-03 0.350E-04 0.314E+00 0.000E+00
   23 0.000E+00 0.492E-04 0.352E-04 0.170E-03 0.352E-04 0.313E+00 0.000E+00
   24 0.300E-02 0.602E-04 0.354E-04 0.346E-03 0.354E-04 0.313E+00 0.000E+00
   25 0.200E-02 0.666E-04 0.357E-04 0.449E-03 0.357E-04 0.313E+00 0.000E+00
   26 0.550E-02 0.696E-04 0.362E-04 0.771E-03 0.362E-04 0.312E+00 0.000E+00
   27 0.600E-02 0.666E-04 0.370E-04 0.111E-02 0.370E-04 0.311E+00 0.000E+00
   28 0.100E-02 0.602E-04 0.383E-04 0.110E-02 0.383E-04 0.310E+00 0.000E+00
   29 0.250E-02 0.492E-04 0.396E-04 0.119E-02 0.396E-04 0.309E+00 0.000E+00
   30 0.000E+00 0.348E-04 0.410E-04 0.112E-02 0.410E-04 0.308E+00 0.000E+00
   31 0.000E+00 0.168E-04 0.424E-04 0.105E-02 0.424E-04 0.307E+00 0.000E+00
   32 0.100E-02 0.000E+00 0.438E-04 0.104E-02 0.438E-04 0.306E+00 0.000E+00
   33 0.500E-03 0.000E+00 0.451E-04 0.101E-02 0.451E-04 0.305E+00 0.000E+00
   34 0.000E+00 0.000E+00 0.465E-04 0.943E-03 0.465E-04 0.304E+00 0.000E+00
   35 0.000E+00 0.000E+00 0.478E-04 0.883E-03 0.478E-04 0.303E+00 0.000E+00
