Taegu Pyungkwang River Catchment: Calibration Data

Starting Subcatchment 1
Subcatchment : Extracted study basin: Taegu Pyungkwang River

TL =     5.45
SUMAC =     1.00
SZQ =       0.63446
Subcatchment routing data:
Maximum Routing Delay       0.41667
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial Balance BAL     -0.31784
Initial SBAR             0.31584
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
1 0.0000e+00 6.1900e-05 3.2800e-05 0.0000e+00 3.2800e-05 3.1588e-01 0.0000e+00
2 0.0000e+00 6.4700e-05 3.2766e-05 0.0000e+00 3.2766e-05 3.1591e-01 0.0000e+00
3 1.0000e-03 6.1900e-05 3.2733e-05 0.0000e+00 3.2733e-05 3.1594e-01 0.0000e+00
4 1.0000e-03 5.6000e-05 3.2699e-05 0.0000e+00 3.2699e-05 3.1597e-01 0.0000e+00
5 1.0000e-03 4.5700e-05 3.2666e-05 4.8670e-05 3.2666e-05 3.1596e-01 0.0000e+00
6 5.0000e-04 3.2300e-05 3.2682e-05 7.4548e-05 3.2682e-05 3.1592e-01 0.0000e+00
7 5.0000e-04 1.5600e-05 3.2725e-05 9.9626e-05 3.2725e-05 3.1585e-01 0.0000e+00
8 0.0000e+00 0.0000e+00 3.2794e-05 9.3233e-05 3.2794e-05 3.1579e-01 0.0000e+00
9 5.0000e-04 0.0000e+00 3.2856e-05 1.1820e-04 3.2856e-05 3.1570e-01 0.0000e+00
10 5.0000e-04 0.0000e+00 3.2943e-05 1.4258e-04 3.2943e-05 3.1559e-01 0.0000e+00
11 0.0000e+00 0.0000e+00 3.3056e-05 1.3345e-04 3.3056e-05 3.1549e-01 0.0000e+00
12 0.0000e+00 0.0000e+00 3.3160e-05 1.2490e-04 3.3160e-05 3.1540e-01 0.0000e+00
13 1.0000e-03 0.0000e+00 3.3255e-05 1.8087e-04 3.3255e-05 3.1525e-01 0.0000e+00
14 5.0000e-04 0.0000e+00 3.3409e-05 2.0130e-04 3.3409e-05 3.1509e-01 0.0000e+00
15 5.0000e-04 0.0000e+00 3.3585e-05 2.2045e-04 3.3585e-05 3.1490e-01 0.0000e+00
16 1.0000e-03 0.0000e+00 3.3782e-05 2.7045e-04 3.3782e-05 3.1466e-01 0.0000e+00
17 0.0000e+00 0.0000e+00 3.4032e-05 2.5320e-04 3.4032e-05 3.1444e-01 0.0000e+00
18 0.0000e+00 0.0000e+00 3.4266e-05 2.3704e-04 3.4266e-05 3.1424e-01 0.0000e+00
19 0.0000e+00 0.0000e+00 3.4484e-05 2.2189e-04 3.4484e-05 3.1405e-01 0.0000e+00
20 0.0000e+00 0.0000e+00 3.4687e-05 2.0770e-04 3.4687e-05 3.1388e-01 0.0000e+00
21 0.0000e+00 1.8000e-05 3.4875e-05 1.9441e-04 3.4875e-05 3.1372e-01 0.0000e+00
22 0.0000e+00 3.4800e-05 3.5049e-05 1.8197e-04 3.5049e-05 3.1357e-01 0.0000e+00
23 0.0000e+00 4.9200e-05 3.5210e-05 1.7031e-04 3.5210e-05 3.1344e-01 0.0000e+00
24 3.0000e-03 6.0200e-05 3.5359e-05 3.4597e-04 3.5359e-05 3.1313e-01 0.0000e+00
25 2.0000e-03 6.6600e-05 3.5704e-05 4.4890e-04 3.5704e-05 3.1272e-01 0.0000e+00
26 5.5000e-03 6.9600e-05 3.6168e-05 7.7098e-04 3.6168e-05 3.1198e-01 0.0000e+00
27 6.0000e-03 6.6600e-05 3.7008e-05 1.1062e-03 3.7008e-05 3.1091e-01 0.0000e+00
28 1.0000e-03 6.0200e-05 3.8266e-05 1.0983e-03 3.8266e-05 3.0985e-01 0.0000e+00
29 2.5000e-03 4.9200e-05 3.9555e-05 1.1890e-03 3.9555e-05 3.0870e-01 0.0000e+00
30 0.0000e+00 3.4800e-05 4.1001e-05 1.1153e-03 4.1001e-05 3.0763e-01 0.0000e+00
31 0.0000e+00 1.6800e-05 4.2401e-05 1.0456e-03 4.2401e-05 3.0662e-01 0.0000e+00
32 1.0000e-03 0.0000e+00 4.3752e-05 1.0391e-03 4.3752e-05 3.0563e-01 0.0000e+00
33 5.0000e-04 0.0000e+00 4.5134e-05 1.0065e-03 4.5134e-05 3.0467e-01 0.0000e+00
34 0.0000e+00 0.0000e+00 4.6510e-05 9.4274e-04 4.6510e-05 3.0377e-01 0.0000e+00
35 0.0000e+00 0.0000e+00 4.7831e-05 8.8264e-04 4.7831e-05 3.0294e-01 0.0000e+00
36 0.0000e+00 0.0000e+00 4.9096e-05 8.2608e-04 4.9096e-05 3.0216e-01 0.0000e+00
37 0.0000e+00 0.0000e+00 5.0302e-05 7.7287e-04 5.0302e-05 3.0144e-01 0.0000e+00
38 0.0000e+00 0.0000e+00 5.1451e-05 7.2286e-04 5.1451e-05 3.0077e-01 0.0000e+00
39 0.0000e+00 0.0000e+00 5.2542e-05 6.7588e-04 5.2542e-05 3.0014e-01 0.0000e+00
40 0.0000e+00 0.0000e+00 5.3575e-05 6.3179e-04 5.3575e-05 2.9956e-01 0.0000e+00
41 0.0000e+00 0.0000e+00 5.4552e-05 5.9042e-04 5.4552e-05 2.9903e-01 0.0000e+00
42 0.0000e+00 0.0000e+00 5.5473e-05 5.5163e-04 5.5473e-05 2.9853e-01 0.0000e+00
43 0.0000e+00 0.0000e+00 5.6340e-05 5.1528e-04 5.6340e-05 2.9807e-01 0.0000e+00
44 0.0000e+00 0.0000e+00 5.7154e-05 4.8123e-04 5.7154e-05 2.9765e-01 0.0000e+00
45 0.0000e+00 3.3800e-05 5.7917e-05 4.4935e-04 5.7917e-05 2.9726e-01 0.0000e+00
46 1.0000e-03 6.5200e-05 5.8629e-05 4.8516e-04 5.8629e-05 2.9683e-01 0.0000e+00
47 0.0000e+00 9.2300e-05 5.9416e-05 4.5292e-04 5.9416e-05 2.9644e-01 0.0000e+00
48 5.0000e-04 1.1300e-04 6.0151e-05 4.4609e-04 6.0151e-05 2.9605e-01 0.0000e+00
49 0.0000e+00 1.2500e-04 6.0881e-05 4.1633e-04 6.0881e-05 2.9570e-01 0.0000e+00
50 1.0000e-03 1.3050e-04 6.1561e-05 4.4056e-04 6.1561e-05 2.9532e-01 0.0000e+00
51 2.5000e-03 1.2500e-04 6.2295e-05 5.7316e-04 6.2295e-05 2.9481e-01 0.0000e+00
52 3.0000e-03 1.1300e-04 6.3297e-05 7.3188e-04 6.3297e-05 2.9414e-01 0.0000e+00
53 2.5000e-03 9.2300e-05 6.4633e-05 8.4712e-04 6.4633e-05 2.9336e-01 0.0000e+00
54 3.0000e-03 6.5200e-05 6.6233e-05 9.9113e-04 6.6233e-05 2.9243e-01 0.0000e+00
55 2.5000e-03 3.1600e-05 6.8176e-05 1.0938e-03 6.8176e-05 2.9140e-01 0.0000e+00
56 2.0000e-03 0.0000e+00 7.0396e-05 1.1580e-03 7.0396e-05 2.9032e-01 0.0000e+00
57 1.0000e-03 0.0000e+00 7.2830e-05 1.1510e-03 7.2830e-05 2.8924e-01 0.0000e+00
58 1.0000e-03 0.0000e+00 7.5325e-05 1.1445e-03 7.5325e-05 2.8817e-01 0.0000e+00
59 0.0000e+00 0.0000e+00 7.7885e-05 1.0682e-03 7.7885e-05 2.8718e-01 0.0000e+00
60 5.0000e-04 0.0000e+00 8.0333e-05 1.0317e-03 8.0333e-05 2.8623e-01 0.0000e+00
61 5.0000e-04 0.0000e+00 8.2757e-05 9.9742e-04 8.2757e-05 2.8531e-01 0.0000e+00
62 0.0000e+00 0.0000e+00 8.5156e-05 9.2982e-04 8.5156e-05 2.8447e-01 0.0000e+00
63 0.0000e+00 0.0000e+00 8.7434e-05 8.6644e-04 8.7434e-05 2.8369e-01 0.0000e+00
64 0.0000e+00 0.0000e+00 8.9589e-05 8.0705e-04 8.9589e-05 2.8297e-01 0.0000e+00
65 0.0000e+00 0.0000e+00 9.1620e-05 7.5145e-04 9.1620e-05 2.8231e-01 0.0000e+00
66 0.0000e+00 0.0000e+00 9.3529e-05 6.9945e-04 9.3529e-05 2.8171e-01 0.0000e+00
67 0.0000e+00 0.0000e+00 9.5317e-05 6.5084e-04 9.5317e-05 2.8115e-01 0.0000e+00
68 0.0000e+00 0.0000e+00 9.6986e-05 6.0544e-04 9.6986e-05 2.8064e-01 0.0000e+00
69 0.0000e+00 4.1400e-05 9.8539e-05 5.6307e-04 9.8539e-05 2.8018e-01 0.0000e+00
70 0.0000e+00 7.9800e-05 9.9980e-05 5.2353e-04 9.9980e-05 2.7975e-01 0.0000e+00
71 0.0000e+00 1.1290e-04 1.0131e-04 4.8667e-04 1.0131e-04 2.7937e-01 0.0000e+00
72 0.0000e+00 1.3830e-04 1.0254e-04 4.5232e-04 1.0254e-04 2.7902e-01 0.0000e+00
73 0.0000e+00 1.5300e-04 1.0367e-04 4.2032e-04 1.0367e-04 2.7870e-01 0.0000e+00
74 0.0000e+00 1.5980e-04 1.0470e-04 3.9052e-04 1.0470e-04 2.7842e-01 0.0000e+00
75 0.0000e+00 1.5300e-04 1.0564e-04 3.6279e-04 1.0564e-04 2.7816e-01 0.0000e+00
76 0.0000e+00 1.3830e-04 1.0649e-04 3.3699e-04 1.0649e-04 2.7793e-01 0.0000e+00
77 0.0000e+00 1.1290e-04 1.0726e-04 3.1299e-04 1.0726e-04 2.7772e-01 0.0000e+00
78 0.0000e+00 7.9800e-05 1.0795e-04 2.9068e-04 1.0795e-04 2.7754e-01 0.0000e+00
79 0.0000e+00 3.8700e-05 1.0857e-04 2.6993e-04 1.0857e-04 2.7738e-01 0.0000e+00
80 0.0000e+00 0.0000e+00 1.0912e-04 2.5066e-04 1.0912e-04 2.7724e-01 0.0000e+00
81 0.0000e+00 0.0000e+00 1.0960e-04 2.3274e-04 1.0960e-04 2.7711e-01 0.0000e+00
82 0.0000e+00 0.0000e+00 1.1002e-04 2.1610e-04 1.1002e-04 2.7701e-01 0.0000e+00
83 0.0000e+00 0.0000e+00 1.1039e-04 2.0064e-04 1.1039e-04 2.7692e-01 0.0000e+00
